TABLA DE MORTALIDAD:;;;COMMISSIONER'S STANDARD ORDINARY  1980  -  HOMBRES;;;;;;;
TASA ANUAL INTERÉS TÉCNICO:;;;4%;;;;;;;
x; q(x)*1000 ; l(x) ; d(x) ; D(x) ; N(x) ; S(x) ; C(x) ; M(x) ; R(x) ;q(x)
56;11,46;8.521.463;97.656;947.648;13.040.960;137.023.360;10.442;446.069;7.770.754;0,01146
57;12,49;8.423.807;105.213;900.758;12.093.312;123.982.400;10.818;435.627;7.324.685;0,01249
58;13,59;8.318.594;113.050;855.296;11.192.554;111.889.088;11.176;424.809;6.889.058;0,01359
59;14,77;8.205.544;121.196;811.223;10.337.258;100.696.534;11.521;413.633;6.464.249;0,01477
60;16,08;8.084.348;129.996;768.501;9.526.035;90.359.276;11.882;402.112;6.050.616;0,01608
61;17,54;7.954.352;139.519;727.061;8.757.534;80.833.241;12.262;390.230;5.648.504;0,01754
62;19,19;7.814.833;149.967;686.835;8.030.473;72.075.707;12.673;377.968;5.258.274;0,01919
63;21,06;7.664.866;161.422;647.745;7.343.638;64.045.234;13.117;365.295;4.880.306;0,02106
64;23,14;7.503.444;173.630;609.715;6.695.893;56.701.596;13.566;352.178;4.515.011;0,02314
65;25,42;7.329.814;186.324;572.698;6.086.178;50.005.703;13.998;338.612;4.162.833;0,02542
66;27,85;7.143.490;198.946;536.673;5.513.480;43.919.525;14.371;324.614;3.824.221;0,02785
67;30,44;6.944.544;211.392;501.661;4.976.807;38.406.045;14.683;310.243;3.499.607;0,03044
68;33,19;6.733.152;223.473;467.683;4.475.146;33.429.238;14.925;295.560;3.189.364;0,03319
69;36,17;6.509.679;235.455;434.770;4.007.463;28.954.092;15.121;280.635;2.893.804;0,03617
70;39,51;6.274.224;247.895;402.927;3.572.693;24.946.629;15.307;265.514;2.613.169;0,03951
71;43,3;6.026.329;260.940;372.122;3.169.766;21.373.936;15.493;250.207;2.347.655;0,0433
72;47,65;5.765.389;274.721;342.317;2.797.644;18.204.170;15.684;234.714;2.097.448;0,04765
73;52,64;5.490.668;289.029;313.467;2.455.327;15.406.526;15.866;219.030;1.862.734;0,05264
74;58,19;5.201.639;302.683;285.544;2.141.860;12.951.199;15.977;203.164;1.643.704;0,05819
75;64,19;4.898.956;314.464;258.585;1.856.316;10.809.339;15.960;187.187;1.440.540;0,06419
76;70,53;4.584.492;323.344;232.679;1.597.731;8.953.023;15.780;171.227;1.253.353;0,07053
77;77,12;4.261.148;328.620;207.950;1.365.052;7.355.292;15.420;155.447;1.082.126;0,07712
78;83,9;3.932.528;329.939;184.532;1.157.102;5.990.240;14.887;140.027;926.679;0,0839
79;91,05;3.602.589;328.016;162.548;972.570;4.833.138;14.231;125.140;786.652;0,09105
80;98,84;3.274.573;323.659;142.065;810.022;3.860.568;13.502;110.909;661.512;0,09884
81;107,48;2.950.914;317.164;123.099;667.957;3.050.546;12.722;97.407;550.603;0,10748
82;117,25;2.633.750;308.807;105.643;544.858;2.382.589;11.910;84.685;453.196;0,11725
83;128,26;2.324.943;298.197;89.670;439.215;1.837.731;11.059;72.775;368.511;0,12826
84;140,25;2.026.746;284.251;75.162;349.545;1.398.516;10.136;61.716;295.736;0,14025
85;152,95;1.742.495;266.515;62.135;274.383;1.048.971;9.138;51.580;234.020;0,15295
86;166,09;1.475.980;245.146;50.607;212.248;774.588;8.082;42.442;182.440;0,16609
87;179,55;1.230.834;220.996;40.579;161.641;562.340;7.006;34.360;139.998;0,17955
88;193,27;1.009.838;195.171;32.012;121.062;400.699;5.949;27.354;105.638;0,19327
89;207,29;814.667;168.872;24.832;89.050;279.637;4.949;21.405;78.284;0,20729
90;221,77;645.795;143.218;18.928;64.218;190.587;4.036;16.456;56.879;0,22177
91;236,98;502.577;119.101;14.163;45.290;126.369;3.227;12.420;40.423;0,23698
92;253,45;383.476;97.192;10.391;31.127;81.079;2.532;9.193;28.003;0,25345
93;272,11;286.284;77.901;7.459;20.736;49.952;1.952;6.661;18.810;0,27211
94;295,9;208.383;61.661;5.221;13.277;29.216;1.485;4.709;12.149;0,2959
95;329,96;146.722;48.412;3.535;8.056;15.939;1.121;3.224;7.440;0,32996
96;384,55;98.310;37.805;2.277;4.521;7.883;842;2.103;4.216;0,38455
97;480,2;60.505;29.054;1.348;2.244;3.362;622;1.261;2.113;0,4802
98;657,98;31.451;20.694;674;896;1.118;426;639;852;0,65798
99;1.000,00;10.757;10.757;222;222;222;213;213;213;1
